Aeris	Atmos 2	OCEANIC_VTPRO
Aeris	A300 AI	OCEANIC_ATOM2
Aeris	Atmos AI	OCEANIC_VTPRO
Aeris	Atmos AI 2	OCEANIC_ATOM2
Aeris	Compumask	OCEANIC_ATOM2
Aeris	Elite	OCEANIC_VTPRO
Aeris	Elite T3	OCEANIC_ATOM2
Aeris	Elite T3	OCEANIC_ATOM2
Aeris	Epic	OCEANIC_ATOM2
Aeris	Epic	OCEANIC_ATOM2
Aeris	F10	OCEANIC_ATOM2
Aeris	Manta	OCEANIC_ATOM2
Aeris	XR-2	OCEANIC_VEO250
Apeks	Quantum X	ZEAGLE_N2ITION3
Atomic Aquatics	Cobalt	ATOMICS_COBALT
Cressi	Edy	CRESSI_EDY
Cressi	Leonardo	CRESSI_LEONARDO
DiveRite	NiTek Trio	ZEAGLE_N2ITION3
Genesis	React Pro	OCEANIC_VEO250
Genesis	React Pro White	OCEANIC_ATOM2
Heinrichs Weikamp	DR5	SUBSURFACE
Heinrichs Weikamp	Frog	HW_FROG
Heinrichs Weikamp	OSTC	HW_OSTC
Heinrichs Weikamp	OSTC 2N	HW_OSTC
Heinrichs Weikamp	OSTC 3	HW_OSTC3
Heinrichs Weikamp	OSTC Mk2	HW_OSTC
Hollis	DG03	OCEANIC_ATOM2
Mares	Darwin	MARES_DARWIN
Mares	Darwin Air	MARES_DARWIN
Mares	Icon HD	MARES_ICONHD
Mares	Icon HD Net Ready	MARES_ICONHD
Mares	M1	MARES_DARWIN
Mares	M2	MARES_DARWIN
Mares	Matrix	MARES_ICONHD
Mares	Nemo	MARES_NEMO
Mares	Nemo Air	MARES_PUCK
Mares	Nemo Apneist	MARES_NEMO
Mares	Nemo Excel	MARES_NEMO
Mares	Nemo Steel	MARES_NEMO
Mares	Nemo Titanium	MARES_NEMO
Mares	Nemo Wide	MARES_PUCK
Mares	Nemo Wide 2	MARES_ICONHD
Mares	Puck	MARES_PUCK
Mares	Puck 2	MARES_ICONHD
Mares	Puck Air	MARES_PUCK
Mares	Puck Pro	MARES_ICONHD
Oceanic	Atom 1.0	OCEANIC_ATOM2
Oceanic	Atom 2.0	OCEANIC_ATOM2
Oceanic	Atom 3.0	OCEANIC_ATOM2
Oceanic	Atom 3.1	OCEANIC_ATOM2
Oceanic	Datamask	OCEANIC_ATOM2
Oceanic	Geo	OCEANIC_ATOM2
Oceanic	Geo 2.0	OCEANIC_ATOM2
Oceanic	OC1	OCEANIC_ATOM2
Oceanic	OC1	OCEANIC_ATOM2
Oceanic	OC1	OCEANIC_ATOM2
Oceanic	OCi	OCEANIC_ATOM2
Oceanic	OCS	OCEANIC_ATOM2
Oceanic	Pro Plus 2	OCEANIC_VTPRO
Oceanic	Pro Plus 2.1	OCEANIC_ATOM2
Oceanic	Pro Plus 3	OCEANIC_ATOM2
Oceanic	Veo 1.0	OCEANIC_ATOM2
Oceanic	Veo 180	OCEANIC_VEO250
Oceanic	Veo 2.0	OCEANIC_ATOM2
Oceanic	Veo 200	OCEANIC_VEO250
Oceanic	Veo 250	OCEANIC_VEO250
Oceanic	Veo 3.0	OCEANIC_ATOM2
Oceanic	Versa Pro	OCEANIC_VTPRO
Oceanic	VT 4.1	OCEANIC_ATOM2
Oceanic	VT Pro	OCEANIC_VTPRO
Oceanic	VT3	OCEANIC_ATOM2
Oceanic	VT4	OCEANIC_ATOM2
Reefnet	Sensus	REEFNET_SENSUS
Reefnet	Sensus Pro	REEFNET_SENSUSPRO
Reefnet	Sensus Ultra	REEFNET_SENSUSULTRA
Seemann	XP5	OCEANIC_VEO250
Shearwater	Petrel	SHEARWATER_PETREL
Shearwater	Predator	SHEARWATER_PREDATOR
Sherwood	Amphos	OCEANIC_ATOM2
Sherwood	Insight	OCEANIC_VEO250
Sherwood	Insight 2	OCEANIC_ATOM2
Sherwood	Wisdom	OCEANIC_VTPRO
Sherwood	Wisdom 2	OCEANIC_ATOM2
Sherwood	Wisdom 3	OCEANIC_ATOM2
Subgear	XP Air	UWATEC_SMART
Subgear	XP-10	UWATEC_SMART
Suunto	Cobra	SUUNTO_VYPER
Suunto	Cobra 2	SUUNTO_VYPER2
Suunto	Cobra 3	SUUNTO_VYPER2
Suunto	D3	SUUNTO_VYPER
Suunto	D4	SUUNTO_D9
Suunto	D4i	SUUNTO_D9
Suunto	D6	SUUNTO_D9
Suunto	D6i	SUUNTO_D9
Suunto	D9	SUUNTO_D9
Suunto	D9tx	SUUNTO_D9
Suunto	DX	SUUNTO_D9
Suunto	Eon	SUUNTO_EON
Suunto	Gekko	SUUNTO_VYPER
Suunto	HelO2	SUUNTO_VYPER2
Suunto	Mosquito	SUUNTO_VYPER
Suunto	Solution	SUUNTO_SOLUTION
Suunto	Solution Alpha	SUUNTO_EON
Suunto	Solution Nitrox	SUUNTO_EON
Suunto	Spyder	SUUNTO_VYPER
Suunto	Stinger	SUUNTO_VYPER
Suunto	Vyper	SUUNTO_VYPER
Suunto	Vyper 2	SUUNTO_VYPER2
Suunto	Vyper Air	SUUNTO_VYPER2
Suunto	Vytec	SUUNTO_VYPER
Suunto	Zoop	SUUNTO_VYPER
Tusa	Element II (IQ-750)	OCEANIC_ATOM2
Tusa	Zen (IQ-900)	OCEANIC_ATOM2
Tusa	Zen Air (IQ-950)	OCEANIC_ATOM2
Uemis	Zürich	SUBSURFACE
Uwatec	Aladin 2G	UWATEC_SMART
Uwatec	Aladin 2G	UWATEC_SMART
Uwatec	Aladin Air Twin	UWATEC_ALADIN
Uwatec	Aladin Air Z	UWATEC_ALADIN
Uwatec	Aladin Air Z Nitrox	UWATEC_ALADIN
Uwatec	Aladin Air Z O2	UWATEC_ALADIN
Uwatec	Aladin Prime	UWATEC_SMART
Uwatec	Aladin Pro	UWATEC_ALADIN
Uwatec	Aladin Pro Ultra	UWATEC_ALADIN
Uwatec	Aladin Sport Plus	UWATEC_ALADIN
Uwatec	Aladin Tec	UWATEC_SMART
Uwatec	Aladin Tec 2G	UWATEC_SMART
Uwatec	Galileo Luna	UWATEC_SMART
Uwatec	Galileo Sol	UWATEC_SMART
Uwatec	Galileo Terra	UWATEC_SMART
Uwatec	Galileo Trimix	UWATEC_SMART
Uwatec	Memomouse	UWATEC_MEMOMOUSE
Uwatec	Smart Com	UWATEC_SMART
Uwatec	Smart Pro	UWATEC_SMART
Uwatec	Smart Tec	UWATEC_SMART
Uwatec	Smart Z	UWATEC_SMART
xDeep	Black	SUBSURFACE
Zeagle	N2iTiON3	ZEAGLE_N2ITION3
