Dive Time (s)	Depth (m)	PPO2 - Setpoint (Bar)	PPO2 - C1 Cell 1 (Bar)	PPO2 - C1 Cell 2 (Bar)	PPO2 - C1 Cell 3 (Bar)	PPO2 - C1 Measured (Bar)	PPO2 - C2 Cell 1 (Bar)	PPO2 - C2 Cell 2 (Bar)	PPO2 - C2 Cell 3 (Bar)	PPO2 - C2 Measured (Bar)	C1 Battery 1 (Volts)	C1 Battery 2 (Volts)	C2 Battery 1 (Volts)	C2 Battery 2 (Volts)	Ambient Temp. (Celsius)	OTU Exposure (%)	CNS Exposure (%)	Deco Ceiling (m)	Gradient Factor
0	0.0	0.70	0.81	0.84	0.76	0.82	0.81	0.84	0.77	0.82	5.35	5.47	5.33	5.47	19.80	0.0	0.0	0.0	0.00
0	1.2	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	19.80	0.0	0.0	0.0	0.00
0	0.0	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	19.80	0.0	0.0	0.0	0.00
0	1.2	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	0.00
0	1.2	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
10	1.6	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
20	1.6	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
30	1.7	0.70	0.71	0.69	0.68	0.69	0.71	0.69	0.69	0.69	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
40	1.8	0.70	0.68	0.66	0.64	0.68	0.68	0.66	0.65	0.66	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
50	1.6	0.70	0.68	0.66	0.64	0.68	0.68	0.66	0.65	0.66	5.28	5.47	5.25	5.47	16.20	0.0	0.0	0.0	85.00
60	2.4	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
70	3.5	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
80	4.2	0.70	0.72	0.70	0.70	0.70	0.72	0.70	0.70	0.70	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
90	4.0	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.68	0.70	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
100	4.3	0.70	0.65	0.63	0.62	0.63	0.67	0.63	0.63	0.63	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
110	4.4	0.70	0.71	0.67	0.66	0.67	0.71	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.80	0.0	0.0	0.0	85.00
120	4.5	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
130	4.9	0.70	0.69	0.69	0.68	0.69	0.69	0.69	0.69	0.69	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
140	4.5	0.70	0.71	0.69	0.68	0.69	0.71	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
150	4.2	0.70	0.71	0.69	0.67	0.68	0.71	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
160	4.5	0.70	0.71	0.70	0.68	0.70	0.71	0.70	0.68	0.70	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
170	4.8	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	15.40	0.0	0.0	0.0	85.00
180	4.8	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
190	4.6	0.70	0.68	0.67	0.66	0.68	0.68	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
200	4.9	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
210	4.9	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
220	5.1	0.70	0.69	0.70	0.68	0.69	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
230	5.0	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	15.20	0.0	0.0	0.0	85.00
240	5.3	0.70	0.72	0.72	0.70	0.72	0.72	0.72	0.70	0.72	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
250	5.6	0.70	0.71	0.70	0.70	0.70	0.71	0.70	0.69	0.71	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
260	5.6	0.70	0.68	0.66	0.66	0.66	0.68	0.66	0.67	0.68	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
270	5.2	0.70	0.68	0.67	0.66	0.68	0.68	0.67	0.67	0.67	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
280	4.9	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
290	4.9	0.70	0.69	0.67	0.66	0.67	0.69	0.67	0.67	0.67	5.28	5.47	5.25	5.47	14.90	0.0	0.0	0.0	85.00
300	4.7	0.70	0.68	0.67	0.67	0.67	0.68	0.69	0.67	0.69	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
310	4.9	0.70	0.69	0.69	0.67	0.69	0.69	0.69	0.68	0.69	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
320	4.9	0.70	0.68	0.67	0.67	0.67	0.68	0.67	0.68	0.68	5.28	5.47	5.25	5.47	14.70	0.0	0.0	0.0	85.00
