/* SEABEAR DIVING TECHNOLOGY
 *
 * This file was given to Subsurface under the GPLv2
 * by Seabear Diving Technology.
 */
//SEABEAR DIVING TECHNOLOGY
//DIVE NR: 5
//Hardware Version: H3
//Firmware Version: 1.31
//DECO CODE Version: 1.22
//Serial number: 0
//2012.10.01 07:24:23
//Surface pressure: 0.971 bar
//DIVE LOG Version: 1.01
//Log interval: 5 s
//Mode: BOTTOM TIMER

Depth;Temperature
1;1
0;1

1.0;25
2.5;
4.0;
5.5;
7.0;
8.5;
10.0;25
11.3;
12.6;
13.8;
15.1;
16.3;
17.6;25
18.8;
20.1;
20.9;
21.7;
22.6;
23.4;25
24.2;
25.1;
25.9;
26.7;
27.6;
28.4;25
29.2;
30.1;
30.9;
31.7;
32.6;
33.4;25
34.2;
35.1;
35.9;
36.7;
37.6;
38.4;25
39.2;
40.1;
40.9;
41.7;
42.5;
43.4;25
44.2;
45.0;
45.9;
46.7;
47.5;
48.4;25
49.2;
50.0;
50.6;
51.2;
51.8;
52.4;25
53.0;
53.5;
54.1;
54.7;
55.3;
55.9;25
56.5;
57.0;
57.6;
58.2;
58.8;
59.4;25
60.0;
60.5;
61.1;
61.7;
62.3;
62.9;25
63.5;
64.0;
64.6;
65.2;
65.8;
66.4;26
67.0;
67.5;
68.1;
68.7;
69.3;
69.9;26
68.8;
66.7;
64.6;
62.6;
60.5;
59.3;26
58.4;
57.6;
56.8;
55.9;
55.1;
54.3;26
53.4;
52.6;
51.8;
50.9;
50.1;
49.3;26
48.4;
47.6;
46.8;
45.9;
45.1;
44.3;26
43.4;
42.6;
41.8;
40.9;
40.1;
39.3;26
38.4;
37.6;
36.8;
35.9;
35.1;
34.3;26
33.4;
32.6;
31.8;
30.9;
30.1;
29.6;26
29.2;
28.8;
28.3;
27.9;
27.5;
27.1;26
26.7;
26.3;
25.8;
25.4;
25.0;
24.6;26
24.2;
23.8;
23.3;
22.9;
22.5;
22.1;26
21.7;
21.3;
20.8;
20.4;
20.0;
19.6;26
19.2;
18.8;
18.3;
17.9;
17.5;
17.1;26
16.7;
16.3;
15.8;
15.4;
15.0;
14.6;26
14.2;
13.8;
13.3;
12.9;
12.5;
12.1;26
11.7;
11.3;
10.8;
10.4;
10.0;
9.6;26
9.2;
8.8;
8.3;
7.9;
7.5;
7.1;26
6.7;
6.3;
5.8;
5.4;
5.0;
4.6;26
4.2;
3.8;
3.3;
2.9;
2.5;
2.1;26
1.7;
1.3;
0.8;
0.4;
0.0;
0.0;26
0.0;
0.0;
0.0;
0.0;
0.0;
0.0;26
0.0;
0.0;
