
/* This file was given to Subsurface under the GPLv2
 * by Seabear Diving Technology.
 *\

//SEABEAR DIVING TECHNOLOGY
//DIVE NR: 26
//Hardware Version: HUDC
//Firmware Version: 1.06
//DECO CODE Version: 1.15
//Serial number: 130010
//2014.07.10 08:46:10
//Surface pressure: 0.9665 bar
//Setting: 0 GF: 30/80 O2: 21%

Time;Depth;NDT;TTS;Ceiling;Temperature;Tank pressure
1;1;1;1;1;1;1
0;1;2;3;4;5;6

1;1.2;200;0;0;25;199
6;2.7;200;0;0;25;198
11;4.2;200;0;0;25;197
16;5.7;200;0;0;25;196
21;7.2;200;0;0;25;195
26;8.7;200;0;0;25;194
31;10.2;200;0;0;25;193
36;11.4;132;0;0;25;192
41;12.7;93;0;0;25;190
46;13.9;74;0;0;25;189
51;15.2;60;0;0;25;187
56;16.4;48;0;0;25;186
61;17.7;40;0;0;25;184
66;18.9;32;0;0;25;183
71;20.1;27;0;0;25;181
76;21.0;24;0;0;25;179
81;21.8;21;0;0;25;177
86;22.6;19;0;0;25;175
91;23.5;17;0;0;25;173
96;24.3;16;0;0;25;171
101;25.1;14;0;0;25;169
106;26.0;13;0;0;25;167
111;26.8;12;0;0;25;165
116;27.6;11;0;0;25;163
121;28.5;11;0;0;25;161
126;29.3;10;0;0;25;159
131;30.1;9;0;0;25;157
136;30.7;9;0;0;25;155
141;31.3;8;0;0;25;152
146;31.9;8;0;0;25;150
151;32.4;7;0;0;25;147
156;33.0;7;0;0;25;145
161;33.6;6;0;0;25;142
166;34.2;6;0;0;25;140
171;34.8;6;0;0;25;137
176;35.4;5;0;0;25;135
181;35.9;5;0;0;25;132
186;36.5;5;0;0;25;130
191;37.1;4;0;0;25;127
196;37.7;4;0;0;25;125
201;38.3;4;0;0;25;122
206;38.9;4;0;0;25;120
211;39.4;4;0;0;25;117
216;40.0;3;0;0;25;115
221;39.3;3;0;0;25;112
226;38.4;3;0;0;25;110
231;37.6;4;0;0;25;107
236;36.8;4;0;0;25;105
241;35.9;4;0;0;25;102
246;35.1;4;0;0;25;100
251;34.3;4;0;0;25;97
256;33.4;4;0;0;25;95
261;32.6;5;0;0;25;92
266;31.8;5;0;0;25;90
271;30.9;5;0;0;25;87
276;30.1;6;0;0;25;85
281;29.3;7;0;0;25;82
286;28.4;7;0;0;25;80
291;27.6;7;0;0;25;78
296;26.8;8;0;0;25;76
301;25.9;8;0;0;25;74
306;25.1;9;0;0;25;72
311;24.3;10;0;0;26;70
316;23.4;11;0;0;26;68
321;22.6;12;0;0;26;66
326;21.8;14;0;0;26;64
331;20.9;16;0;0;26;62
336;20.1;19;0;0;26;60
341;19.3;21;0;0;26;59
346;18.4;24;0;0;26;57
351;17.6;29;0;0;26;56
356;16.8;33;0;0;26;54
361;15.9;39;0;0;26;53
366;15.1;46;0;0;26;51
371;14.3;54;0;0;26;50
376;13.4;63;0;0;26;48
381;12.6;74;0;0;26;47
386;11.8;90;0;0;26;45
391;10.9;120;0;0;26;44
396;10.1;158;0;0;26;42
401;9.3;200;0;0;26;41
406;8.4;200;0;0;26;40
411;7.6;200;0;0;26;39
416;6.8;200;0;0;26;38
421;5.9;200;0;0;26;37
426;5.1;200;0;0;26;36
431;4.3;200;0;0;26;35
436;3.4;200;0;0;26;34
441;2.6;200;0;0;26;33
446;1.8;200;0;0;26;32
451;0.9;200;0;0;26;31
452;0.1;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
452;0.0;200;0;0;26;0
